epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
85	0.8336	0.4352	17340	1.13 hr	32.60s	14.00s	46.61s
86	0.8237	0.4536	17544	1.14 hr	32.90s	14.01s	46.93s
87	0.8409	0.4022	17748	1.16 hr	32.58s	13.99s	46.59s
88	0.8130	0.3709	17952	1.17 hr	32.52s	13.99s	46.54s
89	0.8448	0.3715	18156	1.18 hr	32.50s	14.00s	46.52s
90	0.8423	0.3715	18360	1.20 hr	32.84s	13.99s	46.85s
91	0.8335	0.4265	18564	1.21 hr	32.51s	14.00s	46.52s
92	0.8422	0.3951	18768	1.22 hr	32.46s	13.98s	46.46s
93	0.8493	0.3751	18972	1.23 hr	32.53s	14.01s	46.55s
94	0.8324	0.4234	19176	1.25 hr	32.50s	14.00s	46.52s
95	0.8419	0.4160	19380	1.26 hr	32.47s	13.99s	46.47s
96	0.8495	0.3810	19584	1.27 hr	32.62s	13.99s	46.63s
97	0.8488	0.3588	19788	1.29 hr	32.65s	13.99s	46.66s
98	0.8222	0.3531	19992	1.30 hr	32.63s	13.98s	46.63s
99	0.8469	0.3639	20196	1.31 hr	32.78s	13.98s	46.78s
100	0.8252	0.3601	20400	1.33 hr	32.72s	13.98s	46.73s
101	0.8512	0.3657	20604	1.34 hr	32.45s	13.99s	46.46s
102	0.8538	0.3313	20808	1.35 hr	32.54s	13.99s	46.55s
103	0.7231	0.4046	21012	1.37 hr	32.55s	14.00s	46.56s
104	0.8330	0.4361	21216	1.38 hr	32.54s	14.00s	46.56s
105	0.8446	0.4451	21420	1.39 hr	32.89s	14.00s	46.91s
106	0.8537	0.3566	21624	1.40 hr	32.41s	13.98s	46.41s
107	0.8190	0.3817	21828	1.42 hr	32.62s	14.00s	46.64s
108	0.8520	0.3494	22032	1.43 hr	32.61s	13.99s	46.62s
109	0.8314	0.3723	22236	1.44 hr	32.62s	14.01s	46.65s
110	0.8140	0.4662	22440	1.46 hr	32.44s	14.01s	46.47s
111	0.8409	0.4553	22644	1.47 hr	32.56s	13.99s	46.56s
112	0.8418	0.4252	22848	1.48 hr	32.53s	14.01s	46.55s
113	0.8515	0.3473	23052	1.50 hr	32.69s	13.98s	46.69s
114	0.8242	0.3994	23256	1.51 hr	32.87s	13.99s	46.89s
115	0.8463	0.3992	23460	1.52 hr	32.50s	13.98s	46.50s
116	0.8332	0.3866	23664	1.54 hr	32.76s	13.99s	46.77s
117	0.8471	0.4429	23868	1.55 hr	32.82s	13.98s	46.81s
118	0.8549	0.3411	24072	1.56 hr	32.47s	14.05s	46.54s
119	0.8319	0.3508	24276	1.57 hr	32.90s	13.97s	46.90s
120	0.8328	0.3713	24480	1.59 hr	32.71s	14.00s	46.74s
121	0.8534	0.3727	24684	1.60 hr	32.52s	14.01s	46.54s
122	0.8536	0.3598	24888	1.61 hr	32.60s	14.00s	46.62s
123	0.8461	0.4413	25092	1.63 hr	32.44s	13.98s	46.44s
124	0.8474	0.3728	25296	1.64 hr	32.66s	13.99s	46.67s
125	0.8559	0.3511	25500	1.65 hr	33.10s	13.98s	47.10s
126	0.8559	0.3329	25704	1.67 hr	33.06s	14.03s	47.11s
127	0.8549	0.3241	25908	1.68 hr	32.60s	13.99s	46.61s
128	0.8514	0.3543	26112	1.69 hr	32.70s	14.00s	46.72s
129	0.8538	0.3436	26316	1.71 hr	32.46s	14.01s	46.49s
130	0.8524	0.3238	26520	1.72 hr	32.48s	13.98s	46.48s
131	0.8357	0.3514	26724	1.73 hr	32.56s	13.99s	46.56s
