epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
0	0.0000	2.9645	0	0.02 hr	52.59s	16.19s	68.79s
1	0.0324	2.0534	204	0.03 hr	32.71s	15.30s	48.04s
2	0.1587	1.7408	408	0.05 hr	32.52s	15.25s	47.79s
3	0.3305	1.4968	612	0.06 hr	32.54s	15.25s	47.81s
4	0.2179	1.3134	816	0.07 hr	32.60s	15.27s	47.89s
5	0.3825	1.1877	1020	0.09 hr	32.61s	15.26s	47.88s
6	0.3261	1.1168	1224	0.10 hr	32.55s	15.27s	47.84s
7	0.1834	1.0697	1428	0.11 hr	32.78s	15.28s	48.07s
8	0.1977	1.0237	1632	0.13 hr	32.53s	15.28s	47.83s
9	0.3963	1.0088	1836	0.14 hr	32.82s	15.27s	48.11s
10	0.4327	1.0243	2040	0.15 hr	32.65s	15.27s	47.95s
11	0.4200	0.9907	2244	0.17 hr	32.76s	15.27s	48.05s
12	0.4936	0.9774	2448	0.18 hr	32.71s	15.27s	48.00s
13	0.3139	0.9737	2652	0.19 hr	32.69s	15.27s	47.97s
14	0.4979	0.9334	2856	0.21 hr	32.63s	15.27s	47.92s
15	0.4148	0.9434	3060	0.22 hr	32.49s	15.27s	47.78s
16	0.5384	0.9380	3264	0.23 hr	32.81s	15.28s	48.10s
17	0.4101	0.8794	3468	0.25 hr	32.45s	15.28s	47.75s
18	0.5886	0.8364	3672	0.26 hr	32.47s	15.28s	47.77s
19	0.6343	0.8758	3876	0.27 hr	32.49s	15.27s	47.79s
20	0.7432	0.7507	4080	0.29 hr	32.66s	15.26s	47.95s
21	0.7302	0.7521	4284	0.30 hr	32.79s	15.27s	48.08s
22	0.4686	0.6937	4488	0.32 hr	32.73s	15.27s	48.02s
23	0.7261	0.6403	4692	0.33 hr	32.49s	15.27s	47.78s
24	0.6145	0.6948	4896	0.34 hr	32.57s	15.22s	47.82s
25	0.7629	0.6285	5100	0.36 hr	32.52s	15.28s	47.82s
