epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
0	0.0001	2.9238	0	0.02 hr	48.34s	16.79s	65.15s
1	0.0272	2.0633	204	0.03 hr	35.85s	15.78s	51.65s
2	0.1363	1.7813	408	0.05 hr	35.12s	15.63s	50.77s
3	0.1914	1.5228	612	0.06 hr	34.99s	15.60s	50.61s
4	0.2224	1.3325	816	0.08 hr	35.33s	15.69s	51.04s
5	0.3404	1.2150	1020	0.09 hr	35.46s	15.69s	51.17s
6	0.2955	1.1273	1224	0.10 hr	35.61s	15.88s	51.51s
7	0.3015	1.0877	1428	0.12 hr	35.02s	15.63s	50.67s
8	0.2654	1.0717	1632	0.13 hr	34.87s	15.66s	50.55s
9	0.5813	1.0269	1836	0.15 hr	35.85s	15.96s	51.83s
10	0.4440	1.0195	2040	0.16 hr	35.62s	15.62s	51.27s
11	0.3544	1.0052	2244	0.18 hr	35.33s	15.59s	50.94s
12	0.2640	0.9969	2448	0.19 hr	34.66s	14.48s	49.16s
13	0.4081	0.9894	2652	0.20 hr	32.59s	14.47s	47.08s
14	0.4440	0.9440	2856	0.22 hr	32.85s	14.51s	47.38s
15	0.2277	0.9504	3060	0.23 hr	32.67s	14.50s	47.19s
16	0.5395	0.9108	3264	0.24 hr	32.82s	14.49s	47.32s
17	0.4760	0.9221	3468	0.26 hr	32.52s	14.54s	47.08s
18	0.7519	0.8134	3672	0.27 hr	32.43s	14.48s	46.93s
19	0.7371	0.8663	3876	0.28 hr	32.73s	14.50s	47.25s
20	0.5341	0.7773	4080	0.30 hr	32.68s	14.52s	47.22s
21	0.7189	0.6899	4284	0.31 hr	32.50s	14.51s	47.02s
22	0.7058	0.7652	4488	0.32 hr	32.65s	14.50s	47.17s
23	0.4525	0.7801	4692	0.33 hr	32.45s	14.52s	46.99s
24	0.7350	0.6710	4896	0.35 hr	32.73s	14.50s	47.25s
25	0.7453	0.7049	5100	0.36 hr	32.77s	14.48s	47.26s
26	0.6814	0.6902	5304	0.37 hr	32.70s	14.52s	47.23s
27	0.7009	0.6385	5508	0.39 hr	32.65s	14.49s	47.15s
28	0.7397	0.5661	5712	0.40 hr	32.65s	14.51s	47.19s
29	0.6538	0.6340	5916	0.41 hr	32.87s	14.52s	47.41s
30	0.7542	0.6211	6120	0.43 hr	32.52s	14.51s	47.04s
31	0.6842	0.6131	6324	0.44 hr	32.83s	14.48s	47.34s
32	0.7587	0.6454	6528	0.45 hr	32.74s	14.64s	47.39s
33	0.7202	0.6920	6732	0.47 hr	32.71s	14.51s	47.24s
34	0.7715	0.6870	6936	0.48 hr	32.60s	14.49s	47.11s
35	0.7501	0.5970	7140	0.49 hr	32.52s	14.49s	47.03s
36	0.7214	0.5761	7344	0.51 hr	32.54s	14.48s	47.04s
37	0.6912	0.5043	7548	0.52 hr	32.49s	14.49s	47.00s
38	0.7248	0.4616	7752	0.53 hr	32.85s	14.48s	47.35s
39	0.7252	0.7485	7956	0.55 hr	32.74s	14.50s	47.26s
40	0.7019	0.5725	8160	0.56 hr	32.75s	14.49s	47.26s
41	0.7604	0.6230	8364	0.57 hr	32.68s	14.50s	47.21s
42	0.7944	0.5429	8568	0.59 hr	32.69s	14.49s	47.21s
43	0.7612	0.6128	8772	0.60 hr	32.58s	14.49s	47.09s
44	0.7728	0.4658	8976	0.61 hr	32.61s	14.50s	47.14s
45	0.7607	0.5410	9180	0.63 hr	32.53s	14.50s	47.05s
46	0.7722	0.5194	9384	0.64 hr	32.52s	14.54s	47.08s
47	0.7842	0.5896	9588	0.65 hr	32.56s	14.50s	47.09s
48	0.7763	0.5578	9792	0.67 hr	32.98s	14.51s	47.51s
49	0.7626	0.5012	9996	0.68 hr	32.52s	14.51s	47.05s
50	0.7925	0.4673	10200	0.69 hr	32.67s	14.49s	47.18s
51	0.8065	0.4411	10404	0.71 hr	32.59s	14.49s	47.10s
52	0.8104	0.4663	10608	0.72 hr	32.64s	14.50s	47.16s
53	0.7645	0.3920	10812	0.73 hr	32.51s	14.49s	47.03s
54	0.8224	0.4097	11016	0.74 hr	32.59s	14.48s	47.09s
55	0.7893	0.4782	11220	0.76 hr	32.62s	14.49s	47.12s
56	0.7930	0.4081	11424	0.77 hr	32.65s	14.50s	47.17s
57	0.8093	0.6316	11628	0.78 hr	32.68s	14.49s	47.19s
58	0.7797	0.5444	11832	0.80 hr	32.43s	14.50s	46.95s
59	0.3573	0.6552	12036	0.81 hr	32.60s	14.48s	47.09s
60	0.6427	0.5925	12240	0.82 hr	32.54s	14.50s	47.06s
61	0.7436	0.5741	12444	0.84 hr	32.53s	14.53s	47.08s
62	0.7818	0.5175	12648	0.85 hr	32.85s	14.51s	47.38s
63	0.8149	0.4627	12852	0.86 hr	32.68s	14.51s	47.20s
64	0.8210	0.4191	13056	0.88 hr	32.87s	14.50s	47.39s
65	0.7695	0.3939	13260	0.89 hr	32.76s	14.48s	47.27s
66	0.7899	0.5429	13464	0.90 hr	32.71s	14.50s	47.23s
67	0.7953	0.4715	13668	0.92 hr	32.62s	14.49s	47.13s
68	0.8148	0.4396	13872	0.93 hr	32.75s	14.49s	47.26s
69	0.8154	0.4703	14076	0.94 hr	32.65s	14.53s	47.20s
70	0.7819	0.4706	14280	0.96 hr	32.44s	14.51s	46.98s
71	0.8083	0.4210	14484	0.97 hr	32.70s	14.53s	47.25s
72	0.7652	0.4743	14688	0.98 hr	32.50s	14.50s	47.02s
73	0.8084	0.5189	14892	1.00 hr	32.46s	14.49s	46.96s
74	0.7758	0.4104	15096	1.01 hr	32.81s	14.50s	47.33s
