epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
85	0.8262	0.4645	17340	1.16 hr	32.58s	15.44s	48.04s
86	0.8278	0.4767	17544	1.18 hr	32.80s	15.45s	48.27s
87	0.7631	0.4239	17748	1.19 hr	32.91s	15.44s	48.36s
88	0.8370	0.4465	17952	1.20 hr	32.64s	15.47s	48.13s
89	0.7985	0.4644	18156	1.22 hr	32.47s	15.44s	47.93s
90	0.6083	0.4579	18360	1.23 hr	32.63s	15.46s	48.11s
91	0.8350	0.4178	18564	1.24 hr	32.54s	15.46s	48.03s
92	0.8284	0.3871	18768	1.26 hr	32.47s	15.46s	47.95s
93	0.8294	0.3584	18972	1.27 hr	32.54s	15.47s	48.03s
94	0.8443	0.3443	19176	1.29 hr	32.48s	15.54s	48.04s
95	0.8395	0.3566	19380	1.30 hr	32.43s	15.46s	47.91s
96	0.8224	0.4044	19584	1.31 hr	32.73s	15.44s	48.19s
97	0.8382	0.4204	19788	1.33 hr	32.58s	15.63s	48.23s
98	0.8439	0.3657	19992	1.34 hr	32.51s	15.45s	47.97s
99	0.8461	0.3442	20196	1.35 hr	32.58s	15.45s	48.05s
100	0.8405	0.3795	20400	1.37 hr	32.51s	15.44s	47.96s
101	0.7976	0.5287	20604	1.38 hr	32.47s	15.46s	47.95s
102	0.8195	0.3890	20808	1.39 hr	32.58s	15.44s	48.04s
103	0.8316	0.3655	21012	1.41 hr	32.64s	15.46s	48.12s
104	0.8243	0.3773	21216	1.42 hr	32.81s	15.46s	48.29s
105	0.7850	0.3935	21420	1.43 hr	32.61s	15.45s	48.08s
106	0.8223	0.3846	21624	1.45 hr	32.66s	15.45s	48.13s
107	0.8315	0.4459	21828	1.46 hr	32.59s	15.46s	48.07s
108	0.7560	0.4034	22032	1.47 hr	32.81s	15.46s	48.29s
109	0.8399	0.4001	22236	1.49 hr	32.50s	15.44s	47.96s
110	0.8340	0.3381	22440	1.50 hr	32.56s	15.46s	48.04s
111	0.8365	0.4723	22644	1.51 hr	32.82s	15.46s	48.30s
112	0.8426	0.3858	22848	1.53 hr	32.81s	15.46s	48.30s
113	0.8481	0.3603	23052	1.54 hr	32.60s	15.46s	48.08s
114	0.8493	0.3234	23256	1.55 hr	32.59s	15.46s	48.07s
115	0.8452	0.3313	23460	1.57 hr	32.71s	15.43s	48.17s
116	0.8476	0.3494	23664	1.58 hr	32.94s	15.43s	48.40s
117	0.8512	0.3288	23868	1.60 hr	32.56s	15.45s	48.03s
118	0.8461	0.3323	24072	1.61 hr	32.61s	15.45s	48.08s
119	0.8491	0.3549	24276	1.62 hr	33.03s	15.45s	48.51s
120	0.8483	0.3235	24480	1.64 hr	32.94s	15.44s	48.40s
121	0.8496	0.3144	24684	1.65 hr	32.47s	15.43s	47.92s
122	0.8013	0.4011	24888	1.66 hr	32.85s	15.46s	48.33s
123	0.8339	0.3864	25092	1.68 hr	32.63s	15.46s	48.11s
124	0.8357	0.4239	25296	1.69 hr	32.54s	15.44s	48.01s
125	0.8299	0.4076	25500	1.70 hr	32.80s	15.46s	48.28s
126	0.8160	0.4019	25704	1.72 hr	32.51s	15.45s	47.98s
127	0.8173	0.3411	25908	1.73 hr	32.61s	15.46s	48.09s
128	0.8461	0.3345	26112	1.74 hr	32.55s	15.45s	48.01s
129	0.8485	0.3467	26316	1.76 hr	32.50s	15.46s	47.98s
130	0.8514	0.3334	26520	1.77 hr	32.66s	15.44s	48.13s
131	0.8525	0.3202	26724	1.78 hr	32.56s	15.45s	48.03s
132	0.8427	0.3349	26928	1.80 hr	32.69s	15.46s	48.17s
133	0.8484	0.3534	27132	1.81 hr	32.54s	15.45s	48.01s
134	0.8489	0.3252	27336	1.82 hr	32.77s	15.45s	48.24s
135	0.7582	0.3401	27540	1.84 hr	32.41s	15.43s	47.86s
136	0.8481	0.3433	27744	1.85 hr	32.99s	15.46s	48.47s
137	0.8503	0.3471	27948	1.87 hr	32.57s	15.43s	48.02s
138	0.8463	0.3619	28152	1.88 hr	32.64s	15.45s	48.11s
139	0.8430	0.3638	28356	1.89 hr	32.55s	15.43s	48.00s
140	0.8381	0.3390	28560	1.91 hr	32.48s	15.47s	47.96s
141	0.8489	0.3380	28764	1.92 hr	32.52s	15.45s	47.99s
142	0.8477	0.3251	28968	1.93 hr	32.66s	15.45s	48.13s
143	0.8514	0.3340	29172	1.95 hr	32.47s	15.56s	48.05s
144	0.7559	0.3304	29376	1.96 hr	32.65s	15.46s	48.13s
145	0.8001	0.3277	29580	1.97 hr	32.93s	15.46s	48.41s
146	0.8517	0.3268	29784	1.99 hr	32.63s	15.46s	48.10s
147	0.8489	0.3280	29988	2.00 hr	32.53s	15.46s	48.01s
148	0.8530	0.2982	30192	2.01 hr	32.56s	15.45s	48.03s
149	0.8545	0.3067	30396	2.03 hr	32.67s	15.43s	48.12s
150	0.8526	0.3124	30600	2.04 hr	32.54s	15.45s	48.01s
151	0.8538	0.3048	30804	2.05 hr	32.55s	15.45s	48.01s
152	0.8551	0.2966	31008	2.07 hr	32.64s	15.45s	48.11s
153	0.8514	0.3118	31212	2.08 hr	32.59s	15.45s	48.06s
154	0.8110	0.3101	31416	2.09 hr	32.46s	15.46s	47.94s
155	0.8561	0.3122	31620	2.11 hr	32.42s	15.46s	47.90s
156	0.8556	0.2924	31824	2.12 hr	32.54s	15.46s	48.02s
157	0.8566	0.3006	32028	2.13 hr	32.61s	15.46s	48.10s
158	0.8578	0.2928	32232	2.15 hr	32.94s	15.44s	48.41s
159	0.8595	0.2902	32436	2.16 hr	32.68s	15.44s	48.14s
160	0.8577	0.2888	32640	2.18 hr	33.38s	15.45s	48.85s
161	0.8589	0.2895	32844	2.19 hr	32.53s	15.45s	48.00s
162	0.8533	0.3064	33048	2.20 hr	32.57s	15.42s	48.01s
163	0.8600	0.2937	33252	2.22 hr	32.41s	15.44s	47.87s
164	0.8546	0.2981	33456	2.23 hr	32.69s	15.44s	48.15s
165	0.8131	0.3531	33660	2.24 hr	32.69s	15.44s	48.15s
166	0.8411	0.3121	33864	2.26 hr	32.44s	15.46s	47.92s
167	0.8493	0.3018	34068	2.27 hr	32.70s	15.46s	48.18s
168	0.8581	0.3286	34272	2.28 hr	32.62s	15.46s	48.11s
169	0.8586	0.2904	34476	2.30 hr	32.70s	15.46s	48.19s
170	0.8566	0.3229	34680	2.31 hr	32.95s	15.45s	48.42s
171	0.8578	0.3140	34884	2.32 hr	32.52s	15.43s	47.97s
172	0.8524	0.3052	35088	2.34 hr	32.49s	15.45s	47.96s
173	0.8593	0.2979	35292	2.35 hr	32.52s	15.44s	47.98s
174	0.8592	0.3025	35496	2.36 hr	32.73s	15.45s	48.20s
175	0.8596	0.2912	35700	2.38 hr	32.65s	15.45s	48.12s
176	0.8592	0.2838	35904	2.39 hr	32.83s	15.46s	48.30s
177	0.8604	0.2878	36108	2.40 hr	32.63s	15.43s	48.08s
178	0.8586	0.2900	36312	2.42 hr	33.06s	15.45s	48.52s
179	0.8605	0.2858	36516	2.43 hr	32.58s	15.46s	48.06s
180	0.8611	0.2850	36720	2.44 hr	32.41s	15.46s	47.89s
181	0.8625	0.2781	36924	2.46 hr	32.48s	15.45s	47.96s
182	0.8616	0.2786	37128	2.47 hr	32.67s	15.44s	48.12s
183	0.8606	0.2796	37332	2.49 hr	32.52s	15.44s	47.98s
184	0.8608	0.2802	37536	2.50 hr	32.78s	15.46s	48.27s
185	0.8616	0.2832	37740	2.51 hr	32.55s	15.47s	48.04s
186	0.8613	0.2780	37944	2.53 hr	32.62s	15.47s	48.11s
187	0.8613	0.2807	38148	2.54 hr	32.53s	15.45s	48.00s
188	0.8628	0.2921	38352	2.55 hr	32.52s	15.45s	48.00s
189	0.8635	0.2739	38556	2.57 hr	32.48s	15.45s	47.95s
190	0.8625	0.2817	38760	2.58 hr	32.51s	15.47s	48.00s
191	0.8632	0.2967	38964	2.59 hr	32.48s	15.57s	48.07s
192	0.8639	0.2925	39168	2.61 hr	32.52s	15.44s	47.98s
193	0.8638	0.2712	39372	2.62 hr	32.55s	15.46s	48.03s
194	0.8639	0.2726	39576	2.63 hr	32.47s	15.42s	47.91s
195	0.8632	0.2743	39780	2.65 hr	32.71s	15.46s	48.19s
196	0.8635	0.2728	39984	2.66 hr	32.58s	15.45s	48.05s
197	0.8639	0.2697	40188	2.67 hr	32.64s	15.46s	48.12s
198	0.8638	0.2817	40392	2.69 hr	32.63s	15.45s	48.10s
199	0.8634	0.2747	40596	2.70 hr	32.84s	15.47s	48.32s
200	0.8636	0.2718	40800	2.71 hr	32.54s	15.44s	48.00s
201	0.8649	0.2703	41004	2.73 hr	32.73s	15.46s	48.22s
202	0.8638	0.2711	41208	2.74 hr	32.57s	15.45s	48.04s
203	0.8641	0.2716	41412	2.75 hr	32.73s	15.46s	48.21s
204	0.8649	0.2747	41616	2.77 hr	32.74s	15.45s	48.21s
205	0.8346	0.2786	41820	2.78 hr	32.67s	15.45s	48.15s
206	0.8642	0.2766	42024	2.80 hr	32.46s	15.46s	47.94s
207	0.8649	0.2708	42228	2.81 hr	32.76s	15.45s	48.23s
208	0.8648	0.2727	42432	2.82 hr	32.47s	15.44s	47.93s
209	0.8651	0.2774	42636	2.84 hr	32.80s	15.45s	48.27s
210	0.8649	0.2813	42840	2.85 hr	32.73s	15.45s	48.20s
211	0.8653	0.2684	43044	2.86 hr	32.52s	15.45s	47.99s
212	0.8652	0.2709	43248	2.88 hr	32.72s	15.46s	48.20s
213	0.8658	0.2771	43452	2.89 hr	32.82s	15.46s	48.30s
214	0.8656	0.2665	43656	2.90 hr	32.65s	15.43s	48.10s
215	0.8657	0.2679	43860	2.92 hr	32.57s	15.44s	48.03s
216	0.8657	0.2709	44064	2.93 hr	32.62s	15.45s	48.09s
217	0.8658	0.2646	44268	2.94 hr	32.65s	15.46s	48.12s
218	0.8655	0.2700	44472	2.96 hr	32.78s	15.42s	48.22s
219	0.8654	0.2644	44676	2.97 hr	32.93s	15.45s	48.40s
220	0.8657	0.2897	44880	2.98 hr	32.65s	15.43s	48.11s
221	0.8661	0.2647	45084	3.00 hr	32.71s	15.43s	48.16s
222	0.8663	0.2704	45288	3.01 hr	32.49s	15.43s	47.94s
223	0.8661	0.2695	45492	3.02 hr	32.75s	15.42s	48.19s
224	0.8661	0.2636	45696	3.04 hr	32.55s	15.44s	48.01s
225	0.8660	0.2715	45900	3.05 hr	32.41s	15.46s	47.89s
226	0.8661	0.2651	46104	3.07 hr	32.72s	15.44s	48.18s
227	0.8662	0.2656	46308	3.08 hr	32.54s	15.42s	47.98s
228	0.8664	0.2619	46512	3.09 hr	32.47s	15.47s	47.97s
229	0.8661	0.2634	46716	3.11 hr	32.64s	15.47s	48.13s
230	0.8663	0.2657	46920	3.12 hr	32.58s	15.44s	48.04s
231	0.8663	0.2676	47124	3.13 hr	32.44s	15.43s	47.88s
232	0.8664	0.2651	47328	3.15 hr	32.65s	15.47s	48.14s
233	0.8663	0.2624	47532	3.16 hr	32.52s	15.46s	48.00s
234	0.8663	0.2634	47736	3.17 hr	32.65s	15.43s	48.10s
235	0.8664	0.2619	47940	3.19 hr	32.93s	15.43s	48.38s
236	0.8664	0.2635	48144	3.20 hr	32.80s	15.43s	48.25s
237	0.8665	0.2624	48348	3.21 hr	32.47s	15.43s	47.92s
238	0.8664	0.2635	48552	3.23 hr	32.64s	15.44s	48.10s
239	0.8664	0.2638	48756	3.24 hr	32.60s	15.45s	48.06s
240	0.8665	0.2785	48960	3.25 hr	32.53s	15.44s	47.99s
241	0.8665	0.2706	49164	3.27 hr	32.55s	15.46s	48.03s
242	0.8665	0.2584	49368	3.28 hr	32.54s	15.45s	48.01s
243	0.8665	0.2630	49572	3.29 hr	32.70s	15.45s	48.17s
244	0.8665	0.2655	49776	3.31 hr	32.77s	15.46s	48.25s
