epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
0	0.0000	3.0766	0	0.02 hr	49.96s	15.55s	65.53s
1	0.0261	2.0583	204	0.03 hr	32.76s	14.42s	47.20s
2	0.1205	1.7972	408	0.04 hr	33.46s	14.42s	47.90s
3	0.1779	1.5521	612	0.06 hr	32.62s	14.45s	47.09s
4	0.2538	1.3182	816	0.07 hr	32.63s	14.41s	47.05s
5	0.4271	1.1870	1020	0.08 hr	32.71s	14.42s	47.15s
6	0.3000	1.1186	1224	0.10 hr	32.56s	14.43s	47.01s
7	0.3607	1.0792	1428	0.11 hr	32.85s	14.45s	47.31s
8	0.4898	1.0546	1632	0.12 hr	32.78s	14.43s	47.23s
9	0.3868	1.0197	1836	0.14 hr	32.45s	14.43s	46.91s
10	0.3208	1.0056	2040	0.15 hr	32.74s	14.44s	47.20s
11	0.5359	0.9955	2244	0.16 hr	32.48s	14.43s	46.93s
12	0.4861	0.9898	2448	0.18 hr	32.63s	14.42s	47.06s
13	0.5382	0.9527	2652	0.19 hr	32.78s	14.46s	47.26s
14	0.6516	0.9365	2856	0.20 hr	32.86s	14.47s	47.35s
15	0.5018	0.9299	3060	0.22 hr	32.63s	14.44s	47.09s
16	0.6615	0.9271	3264	0.23 hr	32.60s	14.46s	47.08s
17	0.5937	0.8983	3468	0.24 hr	32.62s	14.43s	47.07s
18	0.6439	0.8725	3672	0.26 hr	32.53s	14.43s	46.97s
19	0.5416	0.8202	3876	0.27 hr	32.64s	14.44s	47.11s
20	0.5257	0.7723	4080	0.28 hr	32.68s	14.46s	47.16s
21	0.6894	0.6851	4284	0.30 hr	32.60s	14.43s	47.05s
22	0.6837	0.7141	4488	0.31 hr	32.79s	14.40s	47.21s
23	0.6642	0.7392	4692	0.32 hr	32.52s	14.42s	46.96s
24	0.7483	0.6508	4896	0.34 hr	32.63s	14.44s	47.10s
25	0.7280	0.6257	5100	0.35 hr	32.58s	14.42s	47.02s
26	0.7248	0.5921	5304	0.36 hr	32.48s	14.45s	46.95s
27	0.7138	0.5994	5508	0.38 hr	32.76s	14.41s	47.19s
28	0.7672	0.5076	5712	0.39 hr	32.75s	14.44s	47.21s
29	0.7378	0.6539	5916	0.40 hr	32.84s	14.46s	47.31s
30	0.5453	0.5472	6120	0.42 hr	32.70s	14.42s	47.14s
31	0.7772	0.5511	6324	0.43 hr	32.74s	14.41s	47.17s
32	0.7219	0.5361	6528	0.44 hr	32.51s	14.43s	46.95s
33	0.4279	0.5678	6732	0.45 hr	32.61s	14.41s	47.04s
34	0.6378	0.5568	6936	0.47 hr	32.59s	14.40s	47.01s
35	0.6207	0.6038	7140	0.48 hr	32.63s	14.40s	47.04s
36	0.6841	0.5535	7344	0.49 hr	32.54s	14.64s	47.20s
37	0.7548	0.4670	7548	0.51 hr	32.87s	14.43s	47.33s
38	0.7923	0.4965	7752	0.52 hr	32.47s	14.44s	46.93s
39	0.7812	0.4942	7956	0.53 hr	32.66s	14.43s	47.10s
40	0.7714	0.5377	8160	0.55 hr	32.44s	14.40s	46.86s
41	0.7434	0.6106	8364	0.56 hr	32.91s	14.46s	47.38s
42	0.7593	0.4554	8568	0.57 hr	32.60s	14.44s	47.06s
43	0.7554	0.5860	8772	0.59 hr	32.42s	14.45s	46.89s
44	0.7613	0.4728	8976	0.60 hr	32.55s	14.43s	46.99s
45	0.7655	0.5391	9180	0.61 hr	32.64s	14.45s	47.11s
46	0.7462	0.5309	9384	0.63 hr	32.49s	14.44s	46.95s
47	0.5211	0.5202	9588	0.64 hr	32.78s	14.46s	47.26s
48	0.7497	0.5271	9792	0.65 hr	32.77s	14.44s	47.24s
49	0.7654	0.4522	9996	0.67 hr	32.46s	14.43s	46.91s
50	0.7636	0.5355	10200	0.68 hr	32.57s	14.45s	47.04s
51	0.7743	0.4841	10404	0.69 hr	32.75s	14.42s	47.19s
52	0.7883	0.5054	10608	0.71 hr	32.62s	14.41s	47.04s
53	0.8012	0.4774	10812	0.72 hr	32.94s	14.43s	47.39s
54	0.7682	0.4707	11016	0.73 hr	32.69s	14.42s	47.13s
55	0.7834	0.4560	11220	0.74 hr	32.47s	14.43s	46.92s
56	0.8051	0.4121	11424	0.76 hr	32.79s	14.41s	47.21s
57	0.8060	0.3767	11628	0.77 hr	32.64s	14.45s	47.11s
58	0.5392	0.5704	11832	0.78 hr	32.64s	14.41s	47.07s
59	0.7906	0.5447	12036	0.80 hr	32.54s	14.44s	47.00s
60	0.7932	0.4257	12240	0.81 hr	32.42s	14.45s	46.89s
61	0.7053	0.6093	12444	0.82 hr	32.44s	14.43s	46.90s
62	0.7832	0.4722	12648	0.84 hr	32.53s	14.41s	46.96s
63	0.6979	0.4487	12852	0.85 hr	32.45s	14.46s	46.92s
64	0.7932	0.4390	13056	0.86 hr	32.53s	14.40s	46.95s
65	0.7797	0.3607	13260	0.88 hr	32.94s	14.41s	47.37s
66	0.7961	0.3659	13464	0.89 hr	32.48s	14.41s	46.91s
67	0.7374	0.5605	13668	0.90 hr	32.80s	14.45s	47.27s
68	0.7265	0.4562	13872	0.92 hr	32.51s	14.45s	46.98s
69	0.7508	0.5187	14076	0.93 hr	32.64s	14.45s	47.10s
70	0.7808	0.4050	14280	0.94 hr	32.71s	14.44s	47.16s
71	0.7895	0.4462	14484	0.96 hr	32.50s	14.42s	46.95s
72	0.8016	0.4067	14688	0.97 hr	32.43s	14.41s	46.86s
73	0.7562	0.3702	14892	0.98 hr	32.74s	14.42s	47.19s
74	0.7794	0.4543	15096	1.00 hr	32.55s	14.45s	47.02s
75	0.8020	0.4589	15300	1.01 hr	32.61s	14.45s	47.08s
76	0.8102	0.3660	15504	1.02 hr	32.73s	14.43s	47.17s
77	0.8140	0.3640	15708	1.03 hr	32.60s	14.44s	47.06s
78	0.7664	0.4034	15912	1.05 hr	32.61s	14.43s	47.06s
79	0.8024	0.3722	16116	1.06 hr	32.77s	14.42s	47.20s
80	0.7986	0.4473	16320	1.07 hr	32.52s	14.43s	46.96s
81	0.7648	0.4138	16524	1.09 hr	32.46s	14.41s	46.89s
82	0.8077	0.3508	16728	1.10 hr	32.48s	14.45s	46.94s
83	0.7818	0.3691	16932	1.11 hr	32.74s	14.44s	47.20s
84	0.8038	0.4090	17136	1.13 hr	32.42s	14.45s	46.89s
85	0.7570	0.4679	17340	1.14 hr	32.67s	14.45s	47.14s
86	0.7971	0.4264	17544	1.15 hr	32.43s	14.42s	46.87s
87	0.7883	0.4869	17748	1.17 hr	32.65s	14.43s	47.10s
88	0.7481	0.5099	17952	1.18 hr	32.56s	14.44s	47.01s
89	0.7872	0.3998	18156	1.19 hr	32.63s	14.41s	47.06s
90	0.8032	0.3563	18360	1.21 hr	32.52s	14.41s	46.94s
91	0.7928	0.3696	18564	1.22 hr	32.57s	14.43s	47.02s
92	0.8070	0.3334	18768	1.23 hr	32.48s	14.44s	46.94s
93	0.8130	0.3502	18972	1.25 hr	32.54s	14.42s	46.98s
94	0.7876	0.3825	19176	1.26 hr	32.45s	14.41s	46.88s
95	0.8158	0.3848	19380	1.27 hr	32.63s	14.44s	47.09s
96	0.7716	0.4210	19584	1.29 hr	32.63s	14.44s	47.09s
97	0.8128	0.3930	19788	1.30 hr	32.78s	14.42s	47.22s
98	0.8009	0.4295	19992	1.31 hr	32.65s	14.41s	47.08s
99	0.5941	0.4503	20196	1.32 hr	32.73s	14.44s	47.18s
100	0.7980	0.4022	20400	1.34 hr	32.61s	14.44s	47.07s
101	0.8211	0.3968	20604	1.35 hr	32.41s	14.44s	46.87s
102	0.8071	0.3340	20808	1.36 hr	32.55s	14.42s	46.99s
103	0.8224	0.4002	21012	1.38 hr	32.54s	14.45s	47.01s
104	0.8105	0.3992	21216	1.39 hr	32.40s	14.40s	46.82s
105	0.8167	0.3512	21420	1.40 hr	32.53s	14.40s	46.95s
106	0.8141	0.3258	21624	1.42 hr	32.70s	14.42s	47.15s
107	0.8160	0.3202	21828	1.43 hr	32.62s	14.45s	47.08s
108	0.7951	0.3309	22032	1.44 hr	32.74s	14.46s	47.22s
109	0.8113	0.3191	22236	1.46 hr	32.70s	14.61s	47.33s
110	0.8166	0.3162	22440	1.47 hr	32.62s	14.46s	47.09s
111	0.8173	0.3133	22644	1.48 hr	32.75s	14.45s	47.22s
112	0.8180	0.3055	22848	1.50 hr	32.41s	14.54s	46.97s
113	0.8107	0.4276	23052	1.51 hr	32.43s	14.42s	46.86s
114	0.7952	0.3522	23256	1.52 hr	32.63s	14.45s	47.10s
115	0.7837	0.3911	23460	1.54 hr	32.60s	14.44s	47.05s
116	0.8226	0.4443	23664	1.55 hr	32.76s	14.42s	47.20s
117	0.8050	0.4021	23868	1.56 hr	32.72s	14.46s	47.20s
118	0.8125	0.3722	24072	1.58 hr	32.67s	14.44s	47.13s
119	0.8187	0.3378	24276	1.59 hr	33.02s	14.45s	47.50s
120	0.8165	0.3228	24480	1.60 hr	32.57s	14.44s	47.03s
121	0.8191	0.3078	24684	1.61 hr	32.65s	14.42s	47.08s
122	0.8183	0.3100	24888	1.63 hr	32.57s	14.45s	47.05s
123	0.8193	0.3110	25092	1.64 hr	33.32s	14.43s	47.77s
124	0.8200	0.3067	25296	1.65 hr	32.38s	14.39s	46.79s
125	0.7921	0.3562	25500	1.67 hr	32.60s	14.39s	47.01s
126	0.8231	0.3589	25704	1.68 hr	32.64s	14.45s	47.11s
127	0.7875	0.3288	25908	1.69 hr	32.57s	14.43s	47.02s
128	0.8108	0.3405	26112	1.71 hr	32.53s	14.44s	47.00s
129	0.8262	0.3410	26316	1.72 hr	32.60s	14.44s	47.06s
130	0.8342	0.3085	26520	1.73 hr	33.44s	14.44s	47.90s
131	0.8294	0.3337	26724	1.75 hr	32.93s	14.45s	47.40s
132	0.8197	0.3416	26928	1.76 hr	32.46s	14.44s	46.93s
133	0.8354	0.3343	27132	1.77 hr	32.58s	14.44s	47.03s
134	0.8240	0.3186	27336	1.79 hr	32.80s	14.44s	47.25s
135	0.7291	0.2998	27540	1.80 hr	32.64s	14.43s	47.09s
136	0.8104	0.3630	27744	1.81 hr	32.81s	14.45s	47.28s
137	0.8183	0.3384	27948	1.83 hr	32.69s	14.44s	47.15s
138	0.8235	0.3341	28152	1.84 hr	32.49s	14.44s	46.96s
139	0.8184	0.3221	28356	1.85 hr	32.57s	14.38s	46.98s
140	0.8143	0.3375	28560	1.87 hr	32.64s	14.42s	47.08s
141	0.8195	0.3231	28764	1.88 hr	32.44s	14.44s	46.90s
142	0.8212	0.3163	28968	1.89 hr	32.78s	14.41s	47.21s
143	0.8223	0.2988	29172	1.91 hr	32.54s	14.43s	46.99s
144	0.8248	0.2963	29376	1.92 hr	32.61s	14.41s	47.05s
145	0.8250	0.2934	29580	1.93 hr	32.57s	14.44s	47.02s
146	0.8230	0.2917	29784	1.95 hr	32.66s	14.46s	47.13s
147	0.8349	0.2985	29988	1.96 hr	32.48s	14.42s	46.92s
148	0.8251	0.3032	30192	1.97 hr	32.57s	14.45s	47.04s
149	0.8267	0.3057	30396	1.98 hr	32.59s	14.46s	47.07s
150	0.8156	0.3177	30600	2.00 hr	32.46s	14.42s	46.90s
151	0.8239	0.2952	30804	2.01 hr	32.59s	14.44s	47.05s
152	0.8241	0.2895	31008	2.02 hr	32.47s	14.45s	46.94s
153	0.8001	0.3059	31212	2.04 hr	32.65s	14.44s	47.11s
154	0.7940	0.3142	31416	2.05 hr	32.62s	14.43s	47.06s
155	0.8146	0.2912	31620	2.06 hr	32.47s	14.44s	46.93s
156	0.8108	0.2995	31824	2.08 hr	32.80s	14.43s	47.25s
157	0.8410	0.2959	32028	2.09 hr	32.78s	14.43s	47.22s
158	0.8041	0.3080	32232	2.10 hr	32.67s	14.45s	47.14s
159	0.8097	0.2899	32436	2.12 hr	32.67s	14.46s	47.15s
160	0.8104	0.2825	32640	2.13 hr	32.63s	14.41s	47.06s
161	0.8154	0.2884	32844	2.14 hr	32.40s	14.41s	46.83s
162	0.8211	0.2935	33048	2.16 hr	32.79s	14.44s	47.26s
163	0.8240	0.2819	33252	2.17 hr	32.87s	14.43s	47.32s
164	0.8299	0.2922	33456	2.18 hr	32.44s	14.45s	46.91s
165	0.8420	0.2871	33660	2.20 hr	32.57s	14.41s	46.99s
166	0.8422	0.2810	33864	2.21 hr	32.86s	14.44s	47.31s
167	0.8435	0.2820	34068	2.22 hr	32.49s	14.44s	46.95s
168	0.8421	0.2846	34272	2.24 hr	33.37s	14.46s	47.85s
169	0.8283	0.2894	34476	2.25 hr	32.55s	14.42s	46.98s
170	0.8313	0.2757	34680	2.26 hr	32.86s	14.45s	47.33s
171	0.8360	0.2789	34884	2.28 hr	32.75s	14.46s	47.22s
172	0.8330	0.2793	35088	2.29 hr	32.46s	14.46s	46.94s
173	0.8341	0.2745	35292	2.30 hr	32.46s	14.44s	46.92s
174	0.8309	0.2720	35496	2.31 hr	32.78s	14.46s	47.26s
175	0.8322	0.2725	35700	2.33 hr	32.44s	14.44s	46.90s
176	0.8295	0.2710	35904	2.34 hr	32.47s	14.45s	46.94s
177	0.8307	0.2676	36108	2.35 hr	32.54s	14.41s	46.97s
